,pdb,antigen,model_name,protocol,stage,topn,topn_dockq
316,7si0,alphafold2,ABlooper,Para-Epi,Rigid-body,1,0.196
317,7si0,alphafold2,ABlooper,Para-Epi,Rigid-body,10,0.242
318,7si0,alphafold2,IgFold,Para-Epi,Rigid-body,1,0.199
319,7si0,alphafold2,IgFold,Para-Epi,Rigid-body,10,0.218
320,7si0,alphafold2,ABodyBuilder2,Para-Epi,Refinement,1,0.244
321,7si0,alphafold2,ABodyBuilder2,Para-Epi,Refinement,10,0.323
322,7si0,alphafold2,AlphaFold2,Para-Epi,Refinement,1,0.111
323,7si0,alphafold2,AlphaFold2,Para-Epi,Refinement,10,0.168
324,7si0,alphafold2,ABlooper,Para-Epi,Refinement,1,0.132
325,7si0,alphafold2,ABlooper,Para-Epi,Refinement,10,0.306
326,7si0,alphafold2,IgFold,Para-Epi,Refinement,1,0.154
327,7si0,alphafold2,IgFold,Para-Epi,Refinement,10,0.265
328,7si0,alphafold2,ABodyBuilder2,Para-Epi,Clustering,1,0.244
329,7si0,alphafold2,ABodyBuilder2,Para-Epi,Clustering,10,0.323
330,7si0,alphafold2,AlphaFold2,Para-Epi,Clustering,1,0.111
331,7si0,alphafold2,AlphaFold2,Para-Epi,Clustering,10,0.304
332,7si0,alphafold2,ABlooper,Para-Epi,Clustering,1,0.132
333,7si0,alphafold2,ABlooper,Para-Epi,Clustering,10,0.306
